ID,biosample_id,titration,pcr_16S_plate,pos,barcode_lab,kit_version,For_Index_ID,Rev_Index_ID,seq_lab,t_fctr
B4_M1_P2_L2_S1,E01JH0017,0,1,A10,NIST,B,S502,N727,JHU,20
B4_M2_P2_L2_S1,E01JH0017,1,1,B10,NIST,B,S503,N727,JHU,1
B4_M3_P2_L2_S1,E01JH0017,2,1,C10,NIST,B,S505,N727,JHU,2
B4_M4_P2_L2_S1,E01JH0017,3,1,D10,NIST,B,S506,N727,JHU,3
B4_M5_P2_L2_S1,E01JH0017,4,1,E10,NIST,B,S507,N727,JHU,4
B4_M6_P2_L2_S1,E01JH0017,5,1,F10,NIST,B,S508,N727,JHU,5
B4_M7_P2_L2_S1,E01JH0017,10,1,G10,NIST,B,S510,N727,JHU,10
B4_M8_P2_L2_S1,E01JH0017,15,1,H10,NIST,B,S511,N727,JHU,15
B4_M9_P2_L2_S1,E01JH0017,20,1,E12,NIST,B,S507,N729,JHU,0
B5_M1_P1_L2_S1,E01JH0038,0,1,A5,NIST,B,S502,N721,JHU,20
B5_M2_P1_L2_S1,E01JH0038,1,1,B5,NIST,B,S503,N721,JHU,1
B5_M3_P1_L2_S1,E01JH0038,2,1,C5,NIST,B,S505,N721,JHU,2
B5_M4_P1_L2_S1,E01JH0038,3,1,D5,NIST,B,S506,N721,JHU,3
B5_M5_P1_L2_S1,E01JH0038,4,1,E5,NIST,B,S507,N721,JHU,4
B5_M6_P1_L2_S1,E01JH0038,5,1,F5,NIST,B,S508,N721,JHU,5
B5_M7_P1_L2_S1,E01JH0038,10,1,G5,NIST,B,S510,N721,JHU,10
B5_M8_P1_L2_S1,E01JH0038,15,1,H5,NIST,B,S511,N721,JHU,15
B5_M9_P1_L2_S1,E01JH0038,20,1,G6,NIST,B,S510,N722,JHU,0
B5_M1_P2_L2_S1,E01JH0038,0,1,A11,NIST,B,S502,N728,JHU,20
B5_M2_P2_L2_S1,E01JH0038,1,1,B11,NIST,B,S503,N728,JHU,1
B5_M3_P2_L2_S1,E01JH0038,2,1,C11,NIST,B,S505,N728,JHU,2
B5_M4_P2_L2_S1,E01JH0038,3,1,D11,NIST,B,S506,N728,JHU,3
B5_M5_P2_L2_S1,E01JH0038,4,1,E11,NIST,B,S507,N728,JHU,4
B5_M6_P2_L2_S1,E01JH0038,5,1,F11,NIST,B,S508,N728,JHU,5
B5_M7_P2_L2_S1,E01JH0038,10,1,G11,NIST,B,S510,N728,JHU,10
B5_M8_P2_L2_S1,E01JH0038,15,1,H11,NIST,B,S511,N728,JHU,15
B5_M9_P2_L2_S1,E01JH0038,20,1,G12,NIST,B,S510,N729,JHU,0
B0_M0_P1_L2_S1,NTC,NA,1,A6,NIST,B,S502,N722,JHU,NA
B0_M0_P1_L2_S1,NTC,NA,1,D6,NIST,B,S506,N722,JHU,NA
B0_M0_P1_L2_S1,NTC,NA,1,H6,NIST,B,S511,N722,JHU,NA
B0_M0_P2_L2_S1,NTC,NA,1,A12,NIST,B,S502,N729,JHU,NA
